,Optimal_Affected_Component_Uid,Optimal_Failure,cube
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.441
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.0388
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.0454
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.3152
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8305
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.9314
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6146
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9556
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.778
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.574
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1878
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3625
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.4562
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.9152
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.4967
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.6977
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0841
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8637
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0052
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.9866
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0181
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7433
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.8409
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1556
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8847
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3744
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.1452
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.9407
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.3326
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.479
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6129
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.061
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6409
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1759
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.76
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.8623
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.0555
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.5682
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.6774
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1586
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0697
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4767
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4152
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4587
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6055
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.5673
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6752
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6608
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.8646
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.1526
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2453
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.0838
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8502
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.579
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.2419
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.0089
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.4682
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.2061
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.3216
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.8612
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6054
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.4944
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.7946
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.7847
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.1403
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3244
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8907
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.9972
