,Optimal_Affected_Component_Uid,Optimal_Failure,cube
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.441
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8346
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.7374
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.0704
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.837
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.72
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.5327
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6334
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0004
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.0896
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.2388
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2491
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6177
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3421
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.752
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0293
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8573
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8597
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6248
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.707
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6135
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.8504
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.985
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.8101
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,40.285
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.1152
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1649
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7077
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6839
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.0939
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.7639
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.4145
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.0119
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1833
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.5661
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7936
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6566
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.162
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.2719
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.1817
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.8447
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3717
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.4272
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.7678
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.0518
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.274
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.5618
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.4264
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.9823
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.1316
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.6042
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.0427
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.9872
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.7616
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.4167
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.8672
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.1083
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.1353
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.4662
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8131
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.178
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4786
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8922
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4949
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2701
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.6273
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3224
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6817
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.215
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.0192
70,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.6715
71,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.3099
72,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.4634
73,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.6637
74,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.3482
75,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.5831
76,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.9967
77,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7854
78,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5408
79,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.9193
80,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.7151
81,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.5223
82,_SE-L2-cdEeet0YmmfbMwkw,CF1,39.0725
83,_SE-L2-cdEeet0YmmfbMwkw,CF1,37.4263
84,_SE-L2-cdEeet0YmmfbMwkw,CF1,37.2697
85,_SE-L2-cdEeet0YmmfbMwkw,CF1,37.8324
86,_SE-L2-cdEeet0YmmfbMwkw,CF1,39.4062
87,_SE-L2-cdEeet0YmmfbMwkw,CF1,40.208
88,_SE-L2-cdEeet0YmmfbMwkw,CF1,39.0483
89,_SE-L2-cdEeet0YmmfbMwkw,CF1,38.0256
90,_SE-L2-cdEeet0YmmfbMwkw,CF1,38.055
91,_SE-L2-cdEeet0YmmfbMwkw,CF1,39.2661
92,_SE-L2-cdEeet0YmmfbMwkw,CF1,38.6126
93,_SE-L2-cdEeet0YmmfbMwkw,CF1,39.8802
94,_SE-L2-cdEeet0YmmfbMwkw,CF1,40.792
95,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.0228
96,_SE-L2-cdEeet0YmmfbMwkw,CF1,40.6073
97,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.3607
98,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.0405
99,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.1327
100,_SE-L2-cdEeet0YmmfbMwkw,CF1,41.5718
101,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.2312
102,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.1339
103,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.166
104,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.5632
105,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.8507
106,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.4945
107,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.9464
108,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.7913
109,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.4281
110,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.4014
111,_SE-L5ecdEeet0YmmfbMwkw,CF1,2.5656
112,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.1322
113,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.8392
114,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.8801
115,_SE-L5ecdEeet0YmmfbMwkw,CF1,1.6916
116,_SE-L5ecdEeet0YmmfbMwkw,CF1,1.1711
117,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.1279
118,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.8965
119,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.3727
120,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.5946
121,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.9972
122,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.7642
123,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.3124
124,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.663
125,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.0763
126,_SE-L5ecdEeet0YmmfbMwkw,CF1,8.173
127,_SE-L5ecdEeet0YmmfbMwkw,CF1,8.2912
128,_SE-L5ecdEeet0YmmfbMwkw,CF1,9.2957
129,_SE-L5ecdEeet0YmmfbMwkw,CF1,8.2146
130,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.3749
131,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.5759
132,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.5816
133,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.2461
134,_SE-L5ecdEeet0YmmfbMwkw,CF1,8.3161
135,_SE-L5ecdEeet0YmmfbMwkw,CF1,8.5399
136,_SE-L5ecdEeet0YmmfbMwkw,CF1,9.0548
137,_SE-L5ecdEeet0YmmfbMwkw,CF1,8.7534
138,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.7287
139,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.2616
140,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.768
141,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.4923
142,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.9387
143,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.9959
144,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.9214
145,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.3227
146,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.1243
147,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.9546
148,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.2656
149,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.503
150,_SE-L5ecdEeet0YmmfbMwkw,CF1,2.6979
151,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.1148
152,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.6272
153,_SE-L5ecdEeet0YmmfbMwkw,CF1,2.7113
154,_SE-L5ecdEeet0YmmfbMwkw,CF1,2.1289
155,_SE-L5ecdEeet0YmmfbMwkw,CF1,2.6778
156,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.7383
157,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.5506
158,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.2527
159,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.2579
160,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.1424
161,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.2062
162,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.0296
163,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.1335
164,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.6581
165,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.4559
166,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.2374
167,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.5065
168,_SE-L5ecdEeet0YmmfbMwkw,CF1,3.676
169,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.9156
170,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.6494
171,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.5656
172,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.2029
173,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.2454
174,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.4037
175,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.6431
176,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.5199
177,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.0102
178,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.5244
179,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.2526
180,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.9918
181,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.8698
182,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.9617
183,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.7537
184,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.3722
185,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.1025
186,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.886
187,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.3733
188,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.2542
189,_SE-L5ecdEeet0YmmfbMwkw,CF1,7.2233
190,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.5246
191,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.425
192,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.376
193,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.5176
194,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.89
195,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.7497
196,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.0405
197,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.3042
198,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.6819
199,_SE-L5ecdEeet0YmmfbMwkw,CF1,5.4038
200,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.3462
201,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.0811
202,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.8521
203,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.1393
204,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.7056
205,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.0633
206,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.1869
207,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.0628
208,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.6013
209,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.6777
210,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.4287
211,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.9981
212,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.0983
213,_SE-L8ecdEeet0YmmfbMwkw,CF3,6.0052
214,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.8244
215,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.8042
216,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.8166
217,_SE-L8ecdEeet0YmmfbMwkw,CF3,6.7999
218,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.9868
219,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.9084
220,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.5669
221,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.377
222,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.9529
223,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.3748
224,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.0258
225,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.7802
226,_SE-L8ecdEeet0YmmfbMwkw,CF3,5.0756
227,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.2661
228,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.7702
229,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.1149
230,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.2304
231,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.3757
232,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.9658
233,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.304
234,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.0364
235,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.106
236,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.7714
237,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.2271
238,_SE-L8ecdEeet0YmmfbMwkw,CF3,-1.0741
239,_SE-L8ecdEeet0YmmfbMwkw,CF3,-1.1579
240,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.0479
241,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.4866
242,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.038
243,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.1476
244,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.3126
245,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.4751
246,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.6619
247,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.4881
248,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.9405
249,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.3988
250,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.5473
251,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.7873
252,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.8131
253,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.1295
254,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.4604
255,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.5903
256,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.3121
257,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.2952
258,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.608
259,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.2738
260,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.1297
261,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.6631
262,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.8001
263,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.5377
264,_SE-L8ecdEeet0YmmfbMwkw,CF3,0.6835
265,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.0015
266,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.9909
267,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.0788
268,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.4058
269,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.9824
270,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.0977
271,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.4079
272,_SE-L8ecdEeet0YmmfbMwkw,CF3,4.3655
273,_SE-L8ecdEeet0YmmfbMwkw,CF3,3.2207
274,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.9679
275,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.907
276,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.729
277,_SE-L8ecdEeet0YmmfbMwkw,CF3,2.7
278,_SE-L8ecdEeet0YmmfbMwkw,CF3,1.0505
279,_SE-L8ecdEeet0YmmfbMwkw,CF3,-0.48
280,_SE-L8ecdEeet0YmmfbMwkw,CF3,-1.4647
281,_SE-L8ecdEeet0YmmfbMwkw,CF3,-1.5488
282,_SE-L8ecdEeet0YmmfbMwkw,CF3,-1.1988
