,Optimal_Affected_Component_Uid,Optimal_Failure,cube
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.3328
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.4221
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2297
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6239
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4993
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.065
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.6837
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.9819
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.1971
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4412
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8728
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9567
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.5323
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.042
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2771
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4297
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.6124
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.0785
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6681
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.074
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8809
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3565
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6758
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.791
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.0763
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.5516
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3229
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9947
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8543
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5611
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4449
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1721
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4655
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.9052
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.5514
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.195
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.6892
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6493
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.255
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1978
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3772
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.5577
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.856
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.9434
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,49.0786
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3116
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,47.0771
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.9982
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0254
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3441
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.6667
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.5998
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.498
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.1368
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.469
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0305
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.5283
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.1602
58,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.4387
59,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2343
60,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2638
61,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.1919
62,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.8851
63,_SE-L2-cdEeet0YmmfbMwkw,CF1,42.0173
64,_SE-L2-cdEeet0YmmfbMwkw,CF1,48.1376
65,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.512
66,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.7087
67,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.8426
68,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.6964
69,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2326
70,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0995
71,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.3862
72,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.8786
73,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3147
74,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.3255
75,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2213
76,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.2182
77,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.2069
78,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.4793
79,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5514
80,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7734
81,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.9687
82,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.6378
83,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.4491
84,_SE-L2-cdEeet0YmmfbMwkw,CF1,46.0319
85,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.9145
86,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.2463
87,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.0991
88,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.9127
89,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.731
90,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.3311
91,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.5202
92,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.9467
93,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.2046
94,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.968
95,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.7108
96,_SE-L2-cdEeet0YmmfbMwkw,CF1,44.5185
97,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.4998
98,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.479
99,_SE-L2-cdEeet0YmmfbMwkw,CF1,45.1849
100,_SE-L2-cdEeet0YmmfbMwkw,CF1,43.3443
101,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.6098
102,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.0109
103,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.4566
104,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3275
105,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2428
106,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.6239
107,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.6007
108,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2634
109,_SE-L4ucdEeet0YmmfbMwkw,CF1,3.6587
110,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.2344
111,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.0102
112,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1555
113,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.7918
114,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2059
115,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.4716
116,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2807
117,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7686
118,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7209
119,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3279
120,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0308
121,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.498
122,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.4624
123,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1974
124,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7273
125,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.7036
126,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.2903
127,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.8641
128,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.0714
129,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3771
130,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.1329
131,_SE-L4ucdEeet0YmmfbMwkw,CF1,2.8383
132,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.3077
133,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.2101
134,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.5712
135,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.3694
136,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.064
137,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.0969
138,_SE-L4ucdEeet0YmmfbMwkw,CF1,9.0447
139,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.1729
140,_SE-L4ucdEeet0YmmfbMwkw,CF1,3.5172
141,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.8982
142,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3828
143,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.8447
144,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.9016
145,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.5076
146,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.8825
147,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.4625
148,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.8882
149,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.4226
150,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.0514
151,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.8191
152,_SE-L4ucdEeet0YmmfbMwkw,CF1,2.4523
153,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.3602
154,_SE-L4ucdEeet0YmmfbMwkw,CF1,3.993
155,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.4784
156,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.3976
157,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.1553
158,_SE-L4ucdEeet0YmmfbMwkw,CF1,3.5601
159,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.6746
160,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.196
161,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.5923
162,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.4985
163,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.4
164,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2269
165,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.6893
166,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.8813
167,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.825
168,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.9681
169,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0599
170,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.6674
171,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2266
172,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2909
173,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.9325
174,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.8951
175,_SE-L4ucdEeet0YmmfbMwkw,CF1,8.6528
176,_SE-L4ucdEeet0YmmfbMwkw,CF1,1.1617
177,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.2884
178,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2043
179,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.3846
180,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.3009
181,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.791
182,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.293
183,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.0417
184,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.9795
185,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.7138
186,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.743
187,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2635
188,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.7063
189,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.155
190,_SE-L4ucdEeet0YmmfbMwkw,CF1,3.5579
191,_SE-L4ucdEeet0YmmfbMwkw,CF1,7.3798
192,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.1081
193,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.2384
194,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.4396
195,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.8162
196,_SE-L4ucdEeet0YmmfbMwkw,CF1,3.5036
197,_SE-L4ucdEeet0YmmfbMwkw,CF1,6.1761
198,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.3454
199,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.2516
200,_SE-L4ucdEeet0YmmfbMwkw,CF1,5.9969
201,_SE-L4ucdEeet0YmmfbMwkw,CF1,4.5438
202,_SE-L5ecdEeet0YmmfbMwkw,CF1,6.5707
203,_SE-L5ecdEeet0YmmfbMwkw,CF1,4.2978
