,Optimal_Affected_Component_Uid,Optimal_Failure,raw
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,513.7397
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.7905
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,517.758
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.9363
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.6299
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,519.937
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.45
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.0811
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.3153
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.0687
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.417
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,500.2178
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.9965
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.6186
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,497.437
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,510.2987
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,494.0418
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,499.7252
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,497.143
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,514.4996
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,510.0277
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.375
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,517.9407
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.357
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,493.8962
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.2344
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.3882
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,513.4836
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,503.5405
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.722
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.1066
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,505.152
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,517.2886
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,499.8763
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.8079
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,512.9979
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,499.1069
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,501.0583
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.0136
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.5168
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,510.0027
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,495.3262
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,512.3112
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,513.8528
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.9493
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,514.5992
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,509.4307
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,510.0292
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,512.4208
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,507.9699
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,502.3465
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,511.0687
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,508.6031
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,504.1674
