,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,_SEwwu-cdEeet0YmmfbMwkw,CF1,1958.272,45.7468,140.3402,15.0114,34.5572,49.869
1,_SExXgOcdEeet0YmmfbMwkw,CF2,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
2,_SEx_HucdEeet0YmmfbMwkw,CF3,60.8449,4.5194,8.9502,2.1643,4.9828,7.1886
3,_SEymDucdEeet0YmmfbMwkw,CF3,49.3952,4.0982,7.8543,1.9818,4.5629,6.5826
4,_SExYKucdEeet0YmmfbMwkw,CF3,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
5,_SE8-O-cdEeet0YmmfbMwkw,CF1,96.664,5.5629,11.8275,2.5672,5.9107,8.5271
6,_SE_a_OcdEeet0YmmfbMwkw,CF2,96.664,5.5629,11.8275,2.5672,5.9107,8.5271
7,_SE7Io-cdEeet0YmmfbMwkw,CF1,49.3952,4.0982,7.8543,1.9818,4.5629,6.5826
8,_SE-MhecdEeet0YmmfbMwkw,CF2,49.3952,4.0982,7.8543,1.9818,4.5629,6.5826
9,_SE8XmecdEeet0YmmfbMwkw,CF1,27.0459,3.1045,5.3891,1.5082,3.4725,5.0096
10,_SE_aWucdEeet0YmmfbMwkw,CF2,27.0459,3.1045,5.3891,1.5082,3.4725,5.0096
11,_SE8W8-cdEeet0YmmfbMwkw,CF1,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
12,_SE8-s-cdEeet0YmmfbMwkw,CF1,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
13,_SE9lYOcdEeet0YmmfbMwkw,CF1,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
14,_SE-z0OcdEeet0YmmfbMwkw,CF2,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
15,_SFABWOcdEeet0YmmfbMwkw,CF2,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
16,_SFACAucdEeet0YmmfbMwkw,CF2,25.5459,3.0281,5.2058,1.4693,3.3829,4.8803
17,_SE7wFecdEeet0YmmfbMwkw,CF1,13.5,2.3811,3.6742,1.1303,2.6027,3.7549
18,_SE-zLOcdEeet0YmmfbMwkw,CF2,13.5,2.3811,3.6742,1.1303,2.6027,3.7549
