,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,_SEwwu-cdEeet0YmmfbMwkw,CF1,687.0,400.0,541.8284,295.9031,280.0794,222.0
1,_SExXgOcdEeet0YmmfbMwkw,CF2,687.0,400.0,541.8284,295.9031,280.0794,222.0
2,_SEx_HucdEeet0YmmfbMwkw,CF3,687.0,400.0,541.8284,295.9031,280.0794,222.0
3,_SEymDucdEeet0YmmfbMwkw,CF3,1101.5459,797.0281,938.2058,668.4693,678.3829,617.8803
4,_SExYKucdEeet0YmmfbMwkw,CF3,1101.5459,797.0281,938.2058,668.4693,678.3829,617.8803
5,_SE8-O-cdEeet0YmmfbMwkw,CF1,1101.5459,797.0281,938.2058,668.4693,678.3829,617.8803
6,_SE_a_OcdEeet0YmmfbMwkw,CF2,1224.4454,905.7274,1047.9177,801.8114,788.1704,727.0165
7,_SE7Io-cdEeet0YmmfbMwkw,CF1,1224.4454,905.7274,1047.9177,801.8114,788.1704,727.0165
8,_SE-MhecdEeet0YmmfbMwkw,CF2,1224.4454,905.7274,1047.9177,801.8114,788.1704,727.0165
9,_SE8XmecdEeet0YmmfbMwkw,CF1,1294.3952,966.0982,1109.8543,861.9818,842.5629,817.5826
10,_SE_aWucdEeet0YmmfbMwkw,CF2,1294.3952,966.0982,1109.8543,861.9818,842.5629,817.5826
11,_SE8W8-cdEeet0YmmfbMwkw,CF1,1294.3952,966.0982,1109.8543,861.9818,842.5629,817.5826
12,_SE8-s-cdEeet0YmmfbMwkw,CF1,1294.3952,966.0982,1109.8543,861.9818,842.5629,817.5826
13,_SE9lYOcdEeet0YmmfbMwkw,CF1,1294.3952,966.0982,1109.8543,861.9818,842.5629,817.5826
14,_SE-z0OcdEeet0YmmfbMwkw,CF2,1294.3952,966.0982,1109.8543,861.9818,842.5629,817.5826
15,_SFABWOcdEeet0YmmfbMwkw,CF2,1044.5459,740.0281,881.2058,732.4693,621.3829,560.8803
16,_SFACAucdEeet0YmmfbMwkw,CF2,1044.5459,740.0281,881.2058,732.4693,621.3829,560.8803
17,_SE7wFecdEeet0YmmfbMwkw,CF1,1044.5459,740.0281,881.2058,732.4693,621.3829,560.8803
