,Optimal_Affected_Component_Uid,Optimal_Failure,ln
0,_SFJzUucdEeet0YmmfbMwkw,CF3,7.0432
1,_SFJzUucdEeet0YmmfbMwkw,CF3,7.0432
2,_SFJzUucdEeet0YmmfbMwkw,CF3,7.0432
3,_SFKZG-cdEeet0YmmfbMwkw,CF1,4.3519
4,_SFKZG-cdEeet0YmmfbMwkw,CF1,4.3519
5,_SFKZG-cdEeet0YmmfbMwkw,CF1,4.3519
6,_SE4FQucdEeet0YmmfbMwkw,CF3,6.2058
7,_SE4FQucdEeet0YmmfbMwkw,CF3,6.2058
8,_SE4FQucdEeet0YmmfbMwkw,CF3,6.2058
9,_SFMPb-cdEeet0YmmfbMwkw,CF1,4.3869
10,_SFMPb-cdEeet0YmmfbMwkw,CF1,4.3869
11,_SFMPb-cdEeet0YmmfbMwkw,CF1,4.3869
12,_SEu7lecdEeet0YmmfbMwkw,CF3,4.5847
13,_SEu7lecdEeet0YmmfbMwkw,CF3,4.5847
14,_SEu7lecdEeet0YmmfbMwkw,CF3,4.5847
15,_SEuUd-cdEeet0YmmfbMwkw,CF1,2.6704
16,_SEuUd-cdEeet0YmmfbMwkw,CF1,2.6704
17,_SEuUd-cdEeet0YmmfbMwkw,CF1,2.6704
18,_SE5TmucdEeet0YmmfbMwkw,CF1,4.2109
19,_SE5TmucdEeet0YmmfbMwkw,CF1,4.2109
20,_SE5TmucdEeet0YmmfbMwkw,CF1,4.2109
21,_SE5TmucdEeet0YmmfbMwkw,CF1,4.2109
22,_SE5TmucdEeet0YmmfbMwkw,CF1,4.2109
23,_SE5TmucdEeet0YmmfbMwkw,CF1,4.2109
24,_SFKajecdEeet0YmmfbMwkw,CF3,2.7134
25,_SFKajecdEeet0YmmfbMwkw,CF3,2.7134
26,_SFKajecdEeet0YmmfbMwkw,CF3,2.7134
27,_SEu7uucdEeet0YmmfbMwkw,CF3,2.8502
28,_SEu7uucdEeet0YmmfbMwkw,CF3,2.8502
29,_SEu7uucdEeet0YmmfbMwkw,CF3,2.8502
30,_SFLBJecdEeet0YmmfbMwkw,CF3,7.1897
31,_SFLBJecdEeet0YmmfbMwkw,CF3,7.1897
32,_SFLBJecdEeet0YmmfbMwkw,CF3,7.1897
33,_SExXzOcdEeet0YmmfbMwkw,CF1,2.4749
34,_SExXzOcdEeet0YmmfbMwkw,CF1,2.4749
35,_SExXzOcdEeet0YmmfbMwkw,CF1,2.4749
36,_SE_aWucdEeet0YmmfbMwkw,CF2,4.5275
37,_SE_aWucdEeet0YmmfbMwkw,CF2,4.5275
38,_SE_aWucdEeet0YmmfbMwkw,CF2,4.5275
39,_SE_aWucdEeet0YmmfbMwkw,CF2,4.5275
40,_SEx_IecdEeet0YmmfbMwkw,CF3,5.6959
41,_SEx_IecdEeet0YmmfbMwkw,CF3,5.6959
42,_SFLnWecdEeet0YmmfbMwkw,CF3,7.1907
43,_SFLnWecdEeet0YmmfbMwkw,CF3,7.1907
44,_SFLnWecdEeet0YmmfbMwkw,CF3,7.1907
45,_SFGIpOcdEeet0YmmfbMwkw,CF1,3.3627
46,_SFGIpOcdEeet0YmmfbMwkw,CF1,3.3627
47,_SFGIpOcdEeet0YmmfbMwkw,CF1,3.3627
48,_SFGIpOcdEeet0YmmfbMwkw,CF1,3.3627
49,_SFGIpOcdEeet0YmmfbMwkw,CF1,3.3627
50,_SFGIpOcdEeet0YmmfbMwkw,CF1,3.3627
51,_SFApHecdEeet0YmmfbMwkw,CF2,4.5887
52,_SFApHecdEeet0YmmfbMwkw,CF2,4.5887
53,_SFApHecdEeet0YmmfbMwkw,CF2,4.5887
54,_SFApHecdEeet0YmmfbMwkw,CF2,4.5887
55,_SFApHecdEeet0YmmfbMwkw,CF2,4.5887
56,_SEx-rucdEeet0YmmfbMwkw,CF2,2.2938
57,_SEx-rucdEeet0YmmfbMwkw,CF2,2.2938
58,_SEx-rucdEeet0YmmfbMwkw,CF2,2.2938
59,_SFNdmOcdEeet0YmmfbMwkw,CF3,3.3747
60,_SFNdmOcdEeet0YmmfbMwkw,CF3,3.3747
61,_SFNdmOcdEeet0YmmfbMwkw,CF3,3.3747
62,_SFODp-cdEeet0YmmfbMwkw,CF2,2.4929
63,_SFODp-cdEeet0YmmfbMwkw,CF2,2.4929
64,_SFODp-cdEeet0YmmfbMwkw,CF2,2.4929
65,_SFOri-cdEeet0YmmfbMwkw,CF3,3.5061
66,_SFOri-cdEeet0YmmfbMwkw,CF3,3.5061
67,_SFLBp-cdEeet0YmmfbMwkw,CF1,4.3719
68,_SFLBp-cdEeet0YmmfbMwkw,CF1,4.3719
69,_SFLBp-cdEeet0YmmfbMwkw,CF1,4.3719
70,_SFLBp-cdEeet0YmmfbMwkw,CF1,4.3719
71,_SFLBp-cdEeet0YmmfbMwkw,CF1,4.3719
72,_SFLBp-cdEeet0YmmfbMwkw,CF1,4.3719
73,_SFS9wOcdEeet0YmmfbMwkw,CF3,3.5091
74,_SFS9wOcdEeet0YmmfbMwkw,CF3,3.5091
75,_SFGwGecdEeet0YmmfbMwkw,CF1,7.1797
76,_SFGwGecdEeet0YmmfbMwkw,CF1,7.1797
77,_SFGwGecdEeet0YmmfbMwkw,CF1,7.1797
78,_SFGwGecdEeet0YmmfbMwkw,CF1,7.1797
79,_SFGwGecdEeet0YmmfbMwkw,CF1,7.1797
80,_SFGwGecdEeet0YmmfbMwkw,CF1,7.1797
81,_SEz0R-cdEeet0YmmfbMwkw,CF1,6.2128
82,_SEz0R-cdEeet0YmmfbMwkw,CF1,6.2128
83,_SEz0R-cdEeet0YmmfbMwkw,CF1,6.2128
84,_SFApLecdEeet0YmmfbMwkw,CF1,3.0026
85,_SFApLecdEeet0YmmfbMwkw,CF1,3.0026
86,_SFApLecdEeet0YmmfbMwkw,CF1,3.0026
87,_SE23oOcdEeet0YmmfbMwkw,CF1,37.9469
88,_SE23oOcdEeet0YmmfbMwkw,CF1,38.188
89,_SE23oOcdEeet0YmmfbMwkw,CF1,37.9469
90,_SE23oOcdEeet0YmmfbMwkw,CF1,38.188
91,_SE23oOcdEeet0YmmfbMwkw,CF1,37.9469
92,_SE23oOcdEeet0YmmfbMwkw,CF1,38.188
93,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
94,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
95,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
96,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
97,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
98,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
99,_SFMOcecdEeet0YmmfbMwkw,CF3,2.4899
100,_SFMOcecdEeet0YmmfbMwkw,CF3,2.4899
101,_SFMOcecdEeet0YmmfbMwkw,CF3,2.4899
102,_SFBPaucdEeet0YmmfbMwkw,CF1,4.2829
103,_SFBPaucdEeet0YmmfbMwkw,CF1,4.2829
104,_SFBPaucdEeet0YmmfbMwkw,CF1,4.2829
105,_SE7Iq-cdEeet0YmmfbMwkw,CF3,4.5837
106,_SE7Iq-cdEeet0YmmfbMwkw,CF3,4.5837
107,_SE7Iq-cdEeet0YmmfbMwkw,CF3,4.5837
