,Optimal_Affected_Component_Uid,Optimal_Failure,log10
0,_SFJzUucdEeet0YmmfbMwkw,CF3,3.764
1,_SFJzUucdEeet0YmmfbMwkw,CF3,3.764
2,_SFJzUucdEeet0YmmfbMwkw,CF3,3.764
3,_SFKZG-cdEeet0YmmfbMwkw,CF1,2.4123
4,_SFKZG-cdEeet0YmmfbMwkw,CF1,2.4123
5,_SFKZG-cdEeet0YmmfbMwkw,CF1,2.4123
6,_SE4FQucdEeet0YmmfbMwkw,CF3,3.3663
7,_SE4FQucdEeet0YmmfbMwkw,CF3,3.3663
8,_SE4FQucdEeet0YmmfbMwkw,CF3,3.3663
9,_SFMPb-cdEeet0YmmfbMwkw,CF1,2.4433
10,_SFMPb-cdEeet0YmmfbMwkw,CF1,2.4433
11,_SFMPb-cdEeet0YmmfbMwkw,CF1,2.4433
12,_SEu7lecdEeet0YmmfbMwkw,CF3,2.6015
13,_SEu7lecdEeet0YmmfbMwkw,CF3,2.6015
14,_SEu7lecdEeet0YmmfbMwkw,CF3,2.6015
15,_SEuUd-cdEeet0YmmfbMwkw,CF1,1.4911
16,_SEuUd-cdEeet0YmmfbMwkw,CF1,1.4911
17,_SEuUd-cdEeet0YmmfbMwkw,CF1,1.4911
18,_SE5TmucdEeet0YmmfbMwkw,CF1,2.4853
19,_SE5TmucdEeet0YmmfbMwkw,CF1,2.4853
20,_SE5TmucdEeet0YmmfbMwkw,CF1,2.4853
21,_SE5TmucdEeet0YmmfbMwkw,CF1,2.4853
22,_SE5TmucdEeet0YmmfbMwkw,CF1,2.4853
23,_SE5TmucdEeet0YmmfbMwkw,CF1,2.4853
24,_SFKajecdEeet0YmmfbMwkw,CF3,1.5201
25,_SFKajecdEeet0YmmfbMwkw,CF3,1.5201
26,_SFKajecdEeet0YmmfbMwkw,CF3,1.5201
27,_SEu7uucdEeet0YmmfbMwkw,CF3,1.6062
28,_SEu7uucdEeet0YmmfbMwkw,CF3,1.6062
29,_SEu7uucdEeet0YmmfbMwkw,CF3,1.6062
30,_SFLBJecdEeet0YmmfbMwkw,CF3,3.8452
31,_SFLBJecdEeet0YmmfbMwkw,CF3,3.8452
32,_SFLBJecdEeet0YmmfbMwkw,CF3,3.8452
33,_SExXzOcdEeet0YmmfbMwkw,CF1,1.3741
34,_SExXzOcdEeet0YmmfbMwkw,CF1,1.3741
35,_SExXzOcdEeet0YmmfbMwkw,CF1,1.3741
36,_SE_aWucdEeet0YmmfbMwkw,CF2,2.5602
37,_SE_aWucdEeet0YmmfbMwkw,CF2,2.5602
38,_SE_aWucdEeet0YmmfbMwkw,CF2,2.5602
39,_SE_aWucdEeet0YmmfbMwkw,CF2,2.5602
40,_SEx_IecdEeet0YmmfbMwkw,CF3,3.1138
41,_SEx_IecdEeet0YmmfbMwkw,CF3,3.1138
42,_SFLnWecdEeet0YmmfbMwkw,CF3,3.8462
43,_SFLnWecdEeet0YmmfbMwkw,CF3,3.8462
44,_SFLnWecdEeet0YmmfbMwkw,CF3,3.8462
45,_SFGIpOcdEeet0YmmfbMwkw,CF1,1.8893
46,_SFGIpOcdEeet0YmmfbMwkw,CF1,1.8893
47,_SFGIpOcdEeet0YmmfbMwkw,CF1,1.8893
48,_SFGIpOcdEeet0YmmfbMwkw,CF1,1.8893
49,_SFGIpOcdEeet0YmmfbMwkw,CF1,1.8893
50,_SFGIpOcdEeet0YmmfbMwkw,CF1,1.8893
51,_SFApHecdEeet0YmmfbMwkw,CF2,2.6055
52,_SFApHecdEeet0YmmfbMwkw,CF2,2.6055
53,_SFApHecdEeet0YmmfbMwkw,CF2,2.6055
54,_SFApHecdEeet0YmmfbMwkw,CF2,2.6055
55,_SFApHecdEeet0YmmfbMwkw,CF2,2.6055
56,_SEx-rucdEeet0YmmfbMwkw,CF2,1.2802
57,_SEx-rucdEeet0YmmfbMwkw,CF2,1.2802
