,Optimal_Affected_Component_Uid,Optimal_Failure,raw
0,_SFJzUucdEeet0YmmfbMwkw,CF3,92.35799999999999
1,_SFJzUucdEeet0YmmfbMwkw,CF3,92.35799999999999
2,_SFJzUucdEeet0YmmfbMwkw,CF3,92.35799999999999
3,_SFKZG-cdEeet0YmmfbMwkw,CF1,26.3559
4,_SFKZG-cdEeet0YmmfbMwkw,CF1,26.3559
5,_SFKZG-cdEeet0YmmfbMwkw,CF1,26.3559
6,_SE4FQucdEeet0YmmfbMwkw,CF3,61.8939
7,_SE4FQucdEeet0YmmfbMwkw,CF3,61.8939
8,_SE4FQucdEeet0YmmfbMwkw,CF3,61.8939
9,_SFMPb-cdEeet0YmmfbMwkw,CF1,26.3909
10,_SFMPb-cdEeet0YmmfbMwkw,CF1,26.3909
11,_SFMPb-cdEeet0YmmfbMwkw,CF1,26.3909
12,_SEu7lecdEeet0YmmfbMwkw,CF3,28.4709
13,_SEu7lecdEeet0YmmfbMwkw,CF3,28.4709
14,_SEu7lecdEeet0YmmfbMwkw,CF3,28.4709
15,_SEuUd-cdEeet0YmmfbMwkw,CF1,8.432
16,_SEuUd-cdEeet0YmmfbMwkw,CF1,8.432
17,_SEuUd-cdEeet0YmmfbMwkw,CF1,8.432
18,_SE5TmucdEeet0YmmfbMwkw,CF1,26.2149
19,_SE5TmucdEeet0YmmfbMwkw,CF1,26.2149
20,_SE5TmucdEeet0YmmfbMwkw,CF1,26.2149
21,_SE5TmucdEeet0YmmfbMwkw,CF1,26.2149
22,_SE5TmucdEeet0YmmfbMwkw,CF1,26.2149
23,_SE5TmucdEeet0YmmfbMwkw,CF1,26.2149
24,_SFKajecdEeet0YmmfbMwkw,CF3,8.475
25,_SFKajecdEeet0YmmfbMwkw,CF3,8.475
26,_SFKajecdEeet0YmmfbMwkw,CF3,8.475
27,_SEu7uucdEeet0YmmfbMwkw,CF3,9.494
28,_SEu7uucdEeet0YmmfbMwkw,CF3,9.494
29,_SEu7uucdEeet0YmmfbMwkw,CF3,9.494
30,_SFOrh-cdEeet0YmmfbMwkw,CF3,1111.4629
31,_SFOrh-cdEeet0YmmfbMwkw,CF3,1106.9629
32,_SFLBJecdEeet0YmmfbMwkw,CF3,97.789
33,_SFLBJecdEeet0YmmfbMwkw,CF3,97.789
34,_SFLBJecdEeet0YmmfbMwkw,CF3,97.789
35,_SExXzOcdEeet0YmmfbMwkw,CF1,7.37
36,_SExXzOcdEeet0YmmfbMwkw,CF1,7.37
37,_SExXzOcdEeet0YmmfbMwkw,CF1,7.37
38,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419
39,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419
40,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419
41,_SE_aWucdEeet0YmmfbMwkw,CF2,27.9419
42,_SEx_IecdEeet0YmmfbMwkw,CF3,50.3722
43,_SEx_IecdEeet0YmmfbMwkw,CF3,50.3722
44,_SFLnWecdEeet0YmmfbMwkw,CF3,97.79
45,_SFLnWecdEeet0YmmfbMwkw,CF3,97.79
46,_SFLnWecdEeet0YmmfbMwkw,CF3,97.79
47,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.100999999999999
48,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.100999999999999
49,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.100999999999999
50,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.100999999999999
51,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.100999999999999
52,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.100999999999999
53,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749
54,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749
55,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749
56,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749
57,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749
58,_SEx-rucdEeet0YmmfbMwkw,CF2,6.343
59,_SEx-rucdEeet0YmmfbMwkw,CF2,6.343
60,_SEx-rucdEeet0YmmfbMwkw,CF2,6.343
61,_SFNdmOcdEeet0YmmfbMwkw,CF3,14.113
62,_SFNdmOcdEeet0YmmfbMwkw,CF3,14.113
63,_SFNdmOcdEeet0YmmfbMwkw,CF3,14.113
64,_SFODp-cdEeet0YmmfbMwkw,CF2,7.388
65,_SFODp-cdEeet0YmmfbMwkw,CF2,7.388
66,_SFODp-cdEeet0YmmfbMwkw,CF2,7.388
67,_SFOri-cdEeet0YmmfbMwkw,CF3,15.639000000000001
68,_SFOri-cdEeet0YmmfbMwkw,CF3,15.639000000000001
69,_SFLBp-cdEeet0YmmfbMwkw,CF1,26.3759
70,_SFLBp-cdEeet0YmmfbMwkw,CF1,26.3759
71,_SFLBp-cdEeet0YmmfbMwkw,CF1,26.3759
72,_SFLBp-cdEeet0YmmfbMwkw,CF1,26.3759
73,_SFLBp-cdEeet0YmmfbMwkw,CF1,26.3759
74,_SFLBp-cdEeet0YmmfbMwkw,CF1,26.3759
75,_SFS9wOcdEeet0YmmfbMwkw,CF3,15.642000000000001
76,_SFS9wOcdEeet0YmmfbMwkw,CF3,15.642000000000001
77,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779
78,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779
79,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779
80,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779
81,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779
82,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779
83,_SEz0R-cdEeet0YmmfbMwkw,CF1,61.9049
84,_SEz0R-cdEeet0YmmfbMwkw,CF1,61.9049
85,_SEz0R-cdEeet0YmmfbMwkw,CF1,61.9049
86,_SFApLecdEeet0YmmfbMwkw,CF1,10.540999999999999
87,_SFApLecdEeet0YmmfbMwkw,CF1,10.540999999999999
88,_SFApLecdEeet0YmmfbMwkw,CF1,10.540999999999999
89,_SE3ehOcdEeet0YmmfbMwkw,CF1,41.3904
90,_SE3ehOcdEeet0YmmfbMwkw,CF1,41.3904
91,_SE3ehOcdEeet0YmmfbMwkw,CF1,41.3904
92,_SE3ehOcdEeet0YmmfbMwkw,CF1,41.3904
93,_SE3ehOcdEeet0YmmfbMwkw,CF1,41.3904
94,_SE3ehOcdEeet0YmmfbMwkw,CF1,41.3904
95,_SE23oOcdEeet0YmmfbMwkw,CF1,2206.8094
96,_SE23oOcdEeet0YmmfbMwkw,CF1,2220.3094
97,_SE23oOcdEeet0YmmfbMwkw,CF1,2206.8094
98,_SE23oOcdEeet0YmmfbMwkw,CF1,2220.3094
99,_SE23oOcdEeet0YmmfbMwkw,CF1,2206.8094
100,_SE23oOcdEeet0YmmfbMwkw,CF1,2220.3094
101,_SFMOcecdEeet0YmmfbMwkw,CF3,7.385
102,_SFMOcecdEeet0YmmfbMwkw,CF3,7.385
103,_SFMOcecdEeet0YmmfbMwkw,CF3,7.385
104,_SFBPaucdEeet0YmmfbMwkw,CF1,26.2869
105,_SFBPaucdEeet0YmmfbMwkw,CF1,26.2869
106,_SFBPaucdEeet0YmmfbMwkw,CF1,26.2869
107,_SE7Iq-cdEeet0YmmfbMwkw,CF3,28.4699
108,_SE7Iq-cdEeet0YmmfbMwkw,CF3,28.4699
109,_SE7Iq-cdEeet0YmmfbMwkw,CF3,28.4699
110,_SFDr0ecdEeet0YmmfbMwkw,CF3,982.4831
111,_SFDr0ecdEeet0YmmfbMwkw,CF3,977.9831
112,_SFOraecdEeet0YmmfbMwkw,CF1,26.4089
