,Optimal_Affected_Component_Uid,Optimal_Failure,sqt
0,_SFJzUucdEeet0YmmfbMwkw,CF3,12.6837
1,_SFJzUucdEeet0YmmfbMwkw,CF3,12.6837
2,_SFJzUucdEeet0YmmfbMwkw,CF3,12.6837
3,_SFKZG-cdEeet0YmmfbMwkw,CF1,6.1728
4,_SFKZG-cdEeet0YmmfbMwkw,CF1,6.1728
5,_SFKZG-cdEeet0YmmfbMwkw,CF1,6.1728
6,_SE4FQucdEeet0YmmfbMwkw,CF3,10.1562
7,_SE4FQucdEeet0YmmfbMwkw,CF3,10.1562
8,_SE4FQucdEeet0YmmfbMwkw,CF3,10.1562
9,_SFMPb-cdEeet0YmmfbMwkw,CF1,6.2078
10,_SFMPb-cdEeet0YmmfbMwkw,CF1,6.2078
11,_SFMPb-cdEeet0YmmfbMwkw,CF1,6.2078
12,_SEu7lecdEeet0YmmfbMwkw,CF3,6.5304
13,_SEu7lecdEeet0YmmfbMwkw,CF3,6.5304
14,_SEu7lecdEeet0YmmfbMwkw,CF3,6.5304
15,_SEuUd-cdEeet0YmmfbMwkw,CF1,3.4204
16,_SEuUd-cdEeet0YmmfbMwkw,CF1,3.4204
17,_SEuUd-cdEeet0YmmfbMwkw,CF1,3.4204
18,_SE5TmucdEeet0YmmfbMwkw,CF1,6.0318
19,_SE5TmucdEeet0YmmfbMwkw,CF1,6.0318
20,_SE5TmucdEeet0YmmfbMwkw,CF1,6.0318
21,_SE5TmucdEeet0YmmfbMwkw,CF1,6.0318
22,_SE5TmucdEeet0YmmfbMwkw,CF1,6.0318
23,_SE5TmucdEeet0YmmfbMwkw,CF1,6.0318
24,_SFKajecdEeet0YmmfbMwkw,CF3,3.4634
25,_SFKajecdEeet0YmmfbMwkw,CF3,3.4634
26,_SFKajecdEeet0YmmfbMwkw,CF3,3.4634
27,_SEu7uucdEeet0YmmfbMwkw,CF3,3.654
28,_SEu7uucdEeet0YmmfbMwkw,CF3,3.654
29,_SEu7uucdEeet0YmmfbMwkw,CF3,3.654
30,_SFOrh-cdEeet0YmmfbMwkw,CF3,109.8471
31,_SFOrh-cdEeet0YmmfbMwkw,CF3,109.5583
32,_SFLBJecdEeet0YmmfbMwkw,CF3,13.1095
33,_SFLBJecdEeet0YmmfbMwkw,CF3,13.1095
34,_SFLBJecdEeet0YmmfbMwkw,CF3,13.1095
35,_SExXzOcdEeet0YmmfbMwkw,CF1,3.1758
36,_SExXzOcdEeet0YmmfbMwkw,CF1,3.1758
37,_SExXzOcdEeet0YmmfbMwkw,CF1,3.1758
