Sources,Authentication Services operational,Authentication Services degraded,Authentication Services unresponsive,Availability Item Filter operational,Availability Item Filter degraded,Availability Item Filter unresponsive,Bid and Buy Service operational,Bid and Buy Service degraded,Bid and Buy Service unresponsive,Buy Now Item Filter operational,Buy Now Item Filter degraded,Buy Now Item Filter unresponsive,Category Item Filter operational,Category Item Filter degraded,Category Item Filter unresponsive,Comment Item Filter operational,Comment Item Filter degraded,Comment Item Filter unresponsive,Future Sales Item Filter operational,Future Sales Item Filter degraded,Future Sales Item Filter unresponsive,Inventory Service operational,Inventory Service degraded,Inventory Service unresponsive,Item Management Service operational,Item Management Service degraded,Item Management Service unresponsive,Last Second Sales Item Filter operational,Last Second Sales Item Filter degraded,Last Second Sales Item Filter unresponsive,Past Sales Item Filter operational,Past Sales Item Filter degraded,Past Sales Item Filter unresponsive,Persistence Service operational,Persistence Service degraded,Persistence Service unresponsive,Query Service operational,Query Service degraded,Query Service unresponsive,Recommendation Item Filter operational,Recommendation Item Filter degraded,Recommendation Item Filter unresponsive,Region Item Filter operational,Region Item Filter degraded,Region Item Filter unresponsive,Reputation Service operational,Reputation Service degraded,Reputation Service unresponsive,Seller Reputation Item Filter operational,Seller Reputation Item Filter degraded,Seller Reputation Item Filter unresponsive,User Management Service operational,User Management Service degraded,User Management Service unresponsive,Supervisory Component operational,Supervisory Component degraded,Supervisory Component unresponsive
Authentication Services operational,0.13899613919976872,0.0386100380097623,0.0038610035577176585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6795366799035323,0.13899613932921898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Authentication Services degraded,0.20967741761805775,0.14516128947666154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129030625221585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4354838701649487,0.11290322779811061,0.016129033193869276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129033268975936,0.0,0.0,0.04838709785415465,0.0,0.0
Authentication Services unresponsive,0.0,0.20000000512227398,0.19999998956918716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999850988362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999998956918716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000000172294681,0.0,0.0,0.0
Availability Item Filter operational,0.0,0.0,0.0,0.16252390001145567,0.03632887237154207,0.009560229384575349,0.0,0.0,0.0,0.0019120459823343762,0.001912045728580142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682600383041881,0.10325047761927708,0.0019120458603542661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter degraded,0.0,0.0,0.0,0.21428571347555864,0.10714285644341477,0.021428571739043945,0.0,0.0,0.0,0.0,0.0,0.014285713454936545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571449449212,0.08571428583526258,0.007142856986908118,0.0,0.0,0.0,0.0,0.007142857119954198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter unresponsive,0.0,0.0,0.0,0.23809523389900697,0.142857141124376,0.3809523892593137,0.0,0.0,0.0,0.04761904557795178,0.0,0.047619045977090026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904941411381,0.09523809474814775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service operational,0.14649681569615833,0.031847134234504686,0.0,0.0,0.0,0.0,0.21656050789480735,0.05732484225386548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528662425430592,0.01273885388955757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19108280076227926,0.019108280872894297,0.0,0.14012738745227343,0.03184713440060041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service degraded,0.058823530044193995,0.05882352685304468,0.0,0.0,0.0,0.0,0.1764705892012593,0.08823529384735401,0.029411766090378762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705500720161,0.029411765939723635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823530249632765,0.029411764049686626,0.0,0.17647059194044334,0.08823529169709451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529507998684,0.0,0.0
Bid and Buy Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999750405545,0.0,0.3999999943561851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000000111944976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999969452619,0.0,0.0
Buy Now Item Filter operational,0.0,0.0,0.0,0.6673228340908879,0.16141732321531452,0.0019685039043132067,0.0,0.0,0.0,0.10236220445885355,0.05708661482831455,0.009842519502316266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
