Sources,Authentication Service operational,Authentication Service degraded,Authentication Service unresponsive,Availability Item Filter operational,Availability Item Filter degraded,Availability Item Filter unresponsive,Bid and Buy Service operational,Bid and Buy Service degraded,Bid and Buy Service unresponsive,Buy Now Item Filter operational,Buy Now Item Filter degraded,Buy Now Item Filter unresponsive,Category Item Filter operational,Category Item Filter degraded,Category Item Filter unresponsive,Comment Item Filter operational,Comment Item Filter degraded,Comment Item Filter unresponsive,Future Sales Item Filter operational,Future Sales Item Filter degraded,Future Sales Item Filter unresponsive,Inventory Service operational,Inventory Service degraded,Inventory Service unresponsive,Item Management Service operational,Item Management Service degraded,Item Management Service unresponsive,Last Second Sales Item Filter operational,Last Second Sales Item Filter degraded,Last Second Sales Item Filter unresponsive,Past Sales Item Filter operational,Past Sales Item Filter degraded,Past Sales Item Filter unresponsive,Persistence Service operational,Persistence Service degraded,Persistence Service unresponsive,Query Service operational,Query Service degraded,Query Service unresponsive,Recommendation Item Filter operational,Recommendation Item Filter degraded,Recommendation Item Filter unresponsive,Region Item Filter operational,Region Item Filter degraded,Region Item Filter unresponsive,Reputation Service operational,Reputation Service degraded,Reputation Service unresponsive,Seller Reputation Item Filter operational,Seller Reputation Item Filter degraded,Seller Reputation Item Filter unresponsive,User Management Service operational,User Management Service degraded,User Management Service unresponsive,Supervisory Component operational,Supervisory Component degraded,Supervisory Component unresponsive
Authentication Service operational,351.2246195614891,344.3159190979943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.68473417340283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Authentication Service degraded,345.47341280139483,339.4380427201607,345.8645377195562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.3541987450033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Authentication Service unresponsive,318.43810413733246,0.0,324.2483160350111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.44059117414434,0.0,340.7682595479733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter operational,0.0,0.0,0.0,350.5404531046379,347.64578062577124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4475251604717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter degraded,0.0,0.0,0.0,346.48451286105416,360.9624527929723,330.53068370590313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.95882495568395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter unresponsive,0.0,0.0,0.0,340.98162901795325,0.0,333.6105746939442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.88047509202136,0.0,360.76415185113655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service operational,341.38948114407833,0.0,0.0,0.0,0.0,0.0,353.91128422510576,348.42130742274736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0124074307904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.9179458626764,0.0,0.0,343.45445900684706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service degraded,0.0,381.2703023719163,0.0,0.0,0.0,0.0,339.28709450470575,340.4083244914187,329.5322578518722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.92814925796563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.36358129315846,0.0,0.0,307.3274509763802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service unresponsive,238.96866181224738,0.0,0.001995086669921875,0.0,0.0,0.0,295.71612915061945,0.0,349.99643549856546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.7170445077229,0.0,203.3100984385801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.29332358749028,0.0,220.7342886564819,188.12296743455576,0.0,242.46738585767693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter operational,0.0,0.0,0.0,348.4522846615479,0.0,0.0,0.0,0.0,0.0,349.56997796112427,343.9067497611511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter degraded,0.0,0.0,0.0,0.0,345.77341501940634,0.0,0.0,0.0,0.0,345.50074021041684,338.84817103748696,348.4572686540341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter unresponsive,0.0,0.0,0.0,338.9592660979854,0.0,340.9166511308678,0.0,0.0,0.0,330.01154690503836,0.0,334.9060757547471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.1866514309149,340.2099753818049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.57362970165445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0327756128566,354.0060527025579,341.36835515325464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.04023869891967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.6327675547301,0.0,340.6161909559491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.71981138209196,0.0,338.621227284614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0591994833982,0.0,0.0,348.30738019225214,352.23898409224074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.81651833073664,0.0,344.8964412592216,346.79096654745064,343.0377067774104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.96948396480093,0.0,305.60886147417006,340.7477846110143,0.0,346.1145795741436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Future Sales Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.8509450519331,345.23147712857616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.9270027670061,0.0,0.0
Future Sales Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.2586909393705,341.5212829900235,339.7042078762373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.9875446777268,0.0
Future Sales Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.20004301214027,0.0,346.6640306032048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.35965573288985,0.0,312.0893474260451
Inventory Service operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.179794787488,336.5322340799275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.62135600525085,0.0,0.0,350.4875450154393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Service degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.9772171983816,335.8777467270206,313.7605700743939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.5337919643406,0.0,0.0,346.01798873613245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
