,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
0,Query Service,_SEwwu-cdEeet0YmmfbMwkw,CF1,308.6024348016669,35.87249515025449,155.15749548982384,14.934336275021481,46.59800030452926,96.43203291164592
1,User Management Service,_SExXgOcdEeet0YmmfbMwkw,CF2,16.0,2.924017738212866,5.0,1.3979400086720375,3.218875824868201,4.6438561897747235
2,Authentication Service,_SEx_HucdEeet0YmmfbMwkw,CF3,31.5,115.82642549804231,245.87291202413675,29.740605382622476,119.32191455063399,250.61286377431196
3,Bid and Buy Service,_SEymDucdEeet0YmmfbMwkw,CF3,25.0,2.5198420997897464,4.0,1.2041199826559248,2.772588722239781,4.0
4,Item Management Service,_SExYKucdEeet0YmmfbMwkw,CF3,16.0,49.3056310808669,178.56435841281765,30.10299956639812,95.65431091727238,201.0
5,Query Service,_SE8-O-cdEeet0YmmfbMwkw,CF1,49.5,71.41191870212808,266.0671458963617,51.738293138144975,164.98739444526547,347.7055271372179
6,Query Service,_SE_a_OcdEeet0YmmfbMwkw,CF2,49.5,44.11689594532124,99.10492727885686,29.088261849127807,92.58657840041481,194.8252565720807
7,Bid and Buy Service,_SE7Io-cdEeet0YmmfbMwkw,CF1,25.0,3.3560668262441897,6.148170459575759,1.577491799837225,58.02204454672114,5.24031432933371
8,Bid and Buy Service,_SE-MhecdEeet0YmmfbMwkw,CF2,25.0,3.158179798828189,5.612486080160912,1.4983105537896004,3.4499875458315867,4.977279923499917
9,Persistence Service,_SE8XmecdEeet0YmmfbMwkw,CF1,17.5,86.1628632181396,253.94277996836786,57.1462479268196,181.7809668436222,382.31720181253246
10,Persistence Service,_SE_aWucdEeet0YmmfbMwkw,CF2,17.5,129.07416202279018,213.11061311415907,48.21751120213169,153.1676805445789,321.77284065002243
11,Reputation Service,_SE8W8-cdEeet0YmmfbMwkw,CF1,16.0,99.89449082615431,423.3182820500689,60.125569176450675,191.3285853389472,402.51951120060687
12,User Management Service,_SE8-s-cdEeet0YmmfbMwkw,CF1,16.0,88.7180059212318,333.9397607335959,47.62040752251449,151.25418493350782,317.72397439436844
13,Item Management Service,_SE9lYOcdEeet0YmmfbMwkw,CF1,16.0,79.99035164549575,243.43756906447857,61.91443666535206,197.06124150176794,414.6495406392005
14,Reputation Service,_SE-z0OcdEeet0YmmfbMwkw,CF2,16.0,89.18145016407203,345.18895609069824,52.42893017510024,166.66371481173152,350.3298111563925
15,User Management Service,_SFABWOcdEeet0YmmfbMwkw,CF2,16.0,79.00692426636533,273.6372794400252,48.52719899491541,154.16011494503977,323.8727849256863
16,Item Management Service,_SFACAucdEeet0YmmfbMwkw,CF2,16.0,150.69587442137694,536.0195159741594,62.7606610451952,199.50153427348587,419.3464181166434
17,Inventory Service,_SE7wFecdEeet0YmmfbMwkw,CF1,13.5,75.47523490234784,193.35055256975343,74.76582175517444,238.2451594795038,501.7927641777914
18,Inventory Service,_SE-zLOcdEeet0YmmfbMwkw,CF2,13.5,47.990537275805984,308.7886085942843,36.5162649191405,115.66953043952591,242.42852769138722
19,Query Service,_SFCdtucdEeet0YmmfbMwkw,CF3,49.5,2.596247050925552,4.183300132670378,1.2430380486862944,2.862200880929469,4.129283016944966
